Property_keywords,bedrooms,bathrooms,area,prices,locations,property_types,Latitude,Longitude
Executive And Family One Bedroom Apartment On Monthly Rental!,Studio,1,538 sqft,8000,"Jumeirah Garden City, Al Satwa, Dubai",Apartment,25.222671,55.275561
Elegant 1Br At Al Sahab 2 Dubai Marina By Deluxe Holiday Homes,Studio,1,470 sqft,8000,"Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
Furnished Studio For Rent,Studio,1,409 sqft,8000,"Dubailand, Dubai",Hotel Apartment,25.261869,55.315563
Monthly Deal!! 2Bhk At 17.5K,1,1,433 sqft,8000,"Golf Vita A, Golf Vita, DAMAC Hills, Dubai",Apartment,25.0228736,55.2427461
Brand New 2 Bedroom In Vera Residence,2,2,"1,020 sqft",8000,"Zenith Tower A1, Zenith Towers, Dubai Sports City, Dubai",Apartment,25.0438699,55.21539139999999
Superb 2Br In Business Bay,Studio,1,442 sqft,8000,"DAMAC Ghalia, JVC District 18, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0531125,55.1989628
Spacious Deluxe In Serviced Hotel Apartment ! Free Cleaning !Close To Moe,Studio,1,340 sqft,8000,"Goldcrest Views 2, JLT Cluster J, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.066708,55.141881
Luxury 1Br Apartment With Full Water Canal Views In Business Bay,1,2,900 sqft,8000,"Golden Wood Views 1, JVT District 4, Jumeirah Village Triangle (JVT), Dubai",Apartment,25.0436563,55.1930504
"Two Bedroom Apartment Near Financial Center Including All Bills, Taxes, Cleaning And Parking",Studio,1,652 sqft,8000,"Al Jaddaf, Dubai",Apartment,25.216757,55.3309395
Impeccable 2Br At Bahar 2 Jbr By Deluxe Holiday Homes,Studio,1,345 sqft,8000,"Azizi Riviera 11, Azizi Riviera, Meydan One, Meydan City, Dubai",Apartment,25.171373,55.3019366
Luxury | All Bills | Free Cleaning | Near Dubai Mall,1,1,644 sqft,8040,"Binghatti Gate, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.062582,55.199362
Brand New Building For Family 2 Mins From Metro Station,1,2,743 sqft,8100,"Pyramisa Hotel Apartments, Dubai Residence Complex, Dubai",Hotel Apartment,25.0855921,55.385269
One Bedroom I Fully Furnished | Main Road,Studio,1,454 sqft,8100,"Giovanni Boutique Suites, Dubai Sports City, Dubai",Apartment,25.0320227,55.222943
Opulent Studio At Sky Gardens Difc By Deluxe Holiday Homes,Studio,1,408 sqft,8100,"Hera Tower, Dubai Sports City, Dubai",Apartment,25.0403885,55.2225976
Hotel Apartment: Dubai Marina Studio Apartment Near Metro/ All Bills Included,1,1,795 sqft,8100,"Boulevard Apartments, The Pulse, Residential District, Dubai South, Dubai",Apartment,24.9415073,55.2242666
Furnished Two Bedroom Free Bills,Studio,1,431 sqft,8163,"Grand Heights Hotel Apartments, Barsha Heights (Tecom), Dubai",Hotel Apartment,25.0978017,55.1788201
Chic One Bedroom Apartment In Dubai South,1,1,438 sqft,8199,"DAMAC Hills, Dubai",Apartment,25.0292369,55.2527796
Summer Promotion- Beutiful Burj Khalifa View One Bedroom,Studio,1,300 sqft,8199,"Bur Dubai, Dubai",Apartment,25.2145565,55.3032906
Superb Studio With Balcony | Fully Furnished | All Bills Inn,Studio,1,533 sqft,8200,"Golf Promenade 2A, Golf Promenade 2, Golf Promenade, Golf Town, DAMAC Hills, Dubai",Apartment,25.0152456,55.2500014
Superb Studio With Balcony | Fully Furnished | All Bills Inn,Studio,1,533 sqft,8200,"Golf Promenade 2A, Golf Promenade 2, Golf Promenade, Golf Town, DAMAC Hills, Dubai",Apartment,25.0152456,55.2500014
Downtown 3+Maids Apt | Burj View By Livbnb,1,1,807 sqft,8217,"Al Noor Tower 2, Barsha Heights (Tecom), Dubai",Apartment,25.0982827,55.17221499999999
Pristine 1Br In The Address Residences Dubai Marina By Deluxe Holiday Homes,1,1,667 sqft,8217,"Barsha Heights (Tecom), Dubai",Apartment,25.096962,55.1775999
"Wonderfully Maintained !! Remarkable Studio In Imperial Tower, Dso",Studio,1,567 sqft,8249,"AG Tower, Business Bay, Dubai",Apartment,25.1796099,55.269205
Summer Offer | Exclusive 4Br  Modern Villa In Palm Jumeirah,Studio,1,350 sqft,8249,"Dubai Internet City, Dubai",Apartment,25.0976119,55.163109
Fully Furnished | Pool & Gym | Family Oriented,Studio,1,376 sqft,8250,"Bloom Tower C, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0675496,55.203833
Beautiful Studio In Dubai South,Studio,1,567 sqft,8250,"AG Tower, Business Bay, Dubai",Apartment,25.1796099,55.269205
Beautiful Studio In Dubai South,Studio,1,567 sqft,8250,"AG Tower, Business Bay, Dubai",Apartment,25.1796099,55.269205
Community View | Weekly Cleaning | Bills Included,Studio,1,443 sqft,8270,"MYKA Residence, Dubai Production City (IMPZ), Dubai",Apartment,25.0316224,55.1930236
New Stunning One Bedroom Unit || Burj Royale,Studio,1,442 sqft,8270,"MYKA Residence, Dubai Production City (IMPZ), Dubai",Apartment,25.0316224,55.1930236
"Studio Apartment In Al Barsha With All Bills, Taxes And Cleaning",1,2,775 sqft,8290,"Sadaf, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
City View | Furnished | Flexible Terms,1,2,"1,044 sqft",8290,"V3 Tower, JLT Cluster V, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0780937,55.1517133
2Br Marina View Apartment,1,2,750 sqft,8290,"Marina Residence, Dubai Marina, Dubai",Apartment,25.0724878,55.1379366
Fully Furnished Studio For Family 2 Mins From Sharaf Dg Metro Station,Studio,1,463 sqft,8295,"Discovery Gardens, Dubai",Apartment,25.0390117,55.1444815
Season Offer Superb Studio With Balcony | Fully Furnished | All Bills Inn,1,2,850 sqft,8299,"Diamond Views III, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0622902,55.2178078
Newly Developed | Modern Community | Best Amenities,1,1,590 sqft,8299,"Al Jaddaf, Dubai",Apartment,25.216757,55.3309395
Move-In Ready Apartment In Bayz Tower | Business Bay,1,1,509 sqft,8299,"Skycourts Tower A, Skycourts Towers, Dubai Residence Complex, Dubai",Apartment,25.0907436,55.3860044
Move-In Ready Apartment In Bayz Tower | Business Bay,1,1,509 sqft,8299,"Skycourts Tower A, Skycourts Towers, Dubai Residence Complex, Dubai",Apartment,25.0907436,55.3860044
Big Luxury Furnished | Near To Metro | Near To Marina Walk,1,2,700 sqft,8299,"V Tower, Dubai Residence Complex, Dubai",Apartment,25.0867036,55.3817531
Brand New Building For Family  7 Min From Sharaf Dg Metro .,1,2,700 sqft,8300,"Jumeirah Village Circle (JVC), Dubai",Apartment,25.0601975,55.2093505
Brand New Building For Family  7 Min From Sharaf Dg Metro .,1,2,700 sqft,8300,"Jumeirah Village Circle (JVC), Dubai",Apartment,25.0601975,55.2093505
Fancy 1Br | Private Balcony | All Inclusive,Studio,1,417 sqft,8300,"The Manhattan, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0687692,55.2074089
Deal For The Month | Family Quad Studio | Free Housekeeping,1,2,750 sqft,8300,"Jumeirah Village Circle (JVC), Dubai",Apartment,25.0601975,55.2093505
Luxurious Three-Bedroom,1,2,700 sqft,8300,"Jumeirah Village Circle (JVC), Dubai",Apartment,25.0601975,55.2093505
Summer Hot Price/Luxurious /Ready To Move In,1,2,729 sqft,8300,"Jumeirah Village Circle (JVC), Dubai",Apartment,25.0601975,55.2093505
Exclusive Villa In Meydan,1,1,950 sqft,8300,"Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
Exclusive Villa In Meydan,1,1,950 sqft,8300,"Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
Modern Studio Apartment In Jvc | Utilities Included,1,1,602 sqft,8368,"First Central Hotel Apartments, Barsha Heights (Tecom), Dubai",Apartment,25.0977223,55.1745919
Brand New / All Bills Included / Cozy Studio,1,1,622 sqft,8400,"MAG 560, MAG 5 Boulevard, Dubai South, Dubai",Apartment,24.9512346,55.2300507
Fully Furnished Studio In Business Bay,Studio,1,408 sqft,8400,"18 Signature Villas, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0536154,55.2194534
Radiant 2Br Plus Maids With Incredible Marina View,Studio,1,523 sqft,8400,"Shamal Waves, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0508608,55.1985538
Awesome Value 1Br W/Dubai Canal View,Studio,1,400 sqft,8450,"Tenora, Residential District, Dubai South, Dubai",Apartment,24.9392775,55.2175642
Awesome Value 1Br W/Dubai Canal View,Studio,1,400 sqft,8450,"Tenora, Residential District, Dubai South, Dubai",Apartment,24.9392775,55.2175642
Summer Offer |  Luxury 3Br Apartment | Jbr,Studio,1,500 sqft,8499,"The Voleo, Business Bay, Dubai",Apartment,25.1927942,55.2888388
Opportunity Awaits !! Wonderful Studio In Silicon Oasis Wt Balcony- Palace Tower,Studio,1,320 sqft,8499,"Business Bay, Dubai",Apartment,25.1831647,55.272887
Fully Furnished 1 Bhk | Serviced | Accessible Rooms | No Commission,1,2,650 sqft,8499,"Sama Building, Al Barsha 1, Al Barsha, Dubai",Apartment,25.1105513,55.2029218
Modern 2Bdr In Jbr | Netflix|Sparkle Tower,1,2,676 sqft,8499,"Tower 108, JVC District 18, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0532011,55.1975172
Maison Privee - Palm Jumeirah Beach Front Xl Villa W/Prvt Pool,Studio,1,280 sqft,8499,"Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
Elegant | Spacious Studio | Monthly Stays,Studio,1,650 sqft,8499,"Al Zarooni Building, Dubai Marina, Dubai",Apartment,25.0699486,55.1351988
Sky Line Views I Furnished I Bills Included,Studio,1,650 sqft,8499,"Al Zarooni Building, Dubai Marina, Dubai",Apartment,25.0699486,55.1351988
Modern Studio Near Metro At Sheikh Zayed Road,1,1,687 sqft,8499,"The Nook, Wasl Gate, Dubai",Apartment,25.0239416,55.1053193
Dainty Beachfront 2Br W/ Balcony At Address Jbr,Studio,1,413 sqft,8499,"DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
Great Offer || Fully Furnished || Elegant Furniture,1,2,815 sqft,8499,"Bluebell  Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0617417,55.2123317
"Two Bedroom Apartment Near Dic Metro Including All Bills, Taxes And Cleaning",Studio,1,450 sqft,8499,"Business Bay, Dubai",Apartment,25.1831647,55.272887
1Br At Marina Pinnacle In Dubai Marina - Rich Stay,Studio,1,494 sqft,8499,"Al Dana Tower, JVC District 12, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0563484,55.2205264
Maison Privee - Luxurious 2/Bed Apt On Palm Jumeirah,1,1,492 sqft,8499,"Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
Fully Furnished | Private Poolgarden | Corner Big,1,1,496 sqft,8499,"Sobha Creek Vistas Tower A, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Jumeirah Village Circle | Fully Furnished |All Bills Included,Studio,1,692 sqft,8499,"Bay Square 10, Bay Square, Business Bay, Dubai",Apartment,25.184929,55.2809568
Maison Privee - Luxurious 2/Bed Apt On Palm Jumeirah,1,1,492 sqft,8499,"Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
Fully Furnished | Family Oriented | Best Amenities,1,1,532 sqft,8499,"Sobha Creek Vistas Tower A, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Fully Furnished | Best Amenities | Convenient Location,1,2,676 sqft,8499,"Tower 108, JVC District 18, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0532011,55.1975172
Luxury Damac Prive Furnished Studio | Canal View,Studio,1,328 sqft,8499,"Manchester Tower, Dubai Marina, Dubai",Apartment,25.0679944,55.1319621
Swissotel 1 Bedroom | Garden View | Best Price,1,2,980 sqft,8499,"Celestia A, Celestia, Residential District, Dubai South, Dubai",Apartment,25.2048493,55.2707828
Homey 2Br | Near Metro | City View,1,2,820 sqft,8499,"Bluebell  Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0617417,55.2123317
Exclusive 2 Bed | High-End Furnishings | All Bills Paid | Ideal For Families,1,2,820 sqft,8499,"Bluebell  Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0617417,55.2123317
"Deluxe Room Near Dic Metro Including All Bills, Taxes And Cleaning",Studio,1,368 sqft,8499,"Index Tower, DIFC, Dubai",Apartment,25.2074025,55.2777425
Brand New Studio || Most Amazingly Furnished || Call Us Now,Studio,1,500 sqft,8499,"Merano Tower, Business Bay, Dubai",Apartment,25.1848281,55.2603221
Pool Garden | Fully Furnished | Beautiful Lake View,1,2,708 sqft,8499,"Bluebell  Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0617417,55.2123317
Pool Garden | Fully Furnished | Beautiful Lake View,1,2,708 sqft,8499,"Bluebell  Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0617417,55.2123317
Calm Studio In Miraclz Tower By Danube,1,2,860 sqft,8499,"Azizi Daisy, Al Furjan, Dubai",Apartment,25.0272663,55.1558424
Marina View | Weekly Cleaning | Bills Included,1,2,650 sqft,8499,"Al Barsha Business Center, Al Barsha 1, Al Barsha, Dubai",Apartment,25.1134916,55.1939812
Captivating Studio Apartment City View In Downtown,Studio,1,400 sqft,8499,"Index Tower, DIFC, Dubai",Apartment,25.2074025,55.2777425
Fully Furnished | Best Amenities | Convenient Location,1,2,676 sqft,8499,"Tower 108, JVC District 18, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0532011,55.1975172
Spacious | Fully Furnished | All Bills Included,Studio,1,452 sqft,8499,"Joya Verde Residences, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0660797,55.21226859999999
Monthly 1Bhk | Fully Furnished | Free Dewa/Wifi,1,2,621 sqft,8499,"Centurion Onyx, Meydan Avenue, Meydan City, Dubai",Apartment,25.164715,55.3053873
Captivating Studio Apartment City View In Downtown,Studio,1,400 sqft,8499,"Index Tower, DIFC, Dubai",Apartment,25.2074025,55.2777425
"Captivating 1Br In Downtown Views Ii, Close Proximity To Dubai Mall , Burj Khalifa",1,2,781 sqft,8499,"Bluebell  Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0617417,55.2123317
Sunlit Studio At Golf Promenade 2A Damac Hills By Deluxe Holiday Homes,1,2,530 sqft,8499,"Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
"Stylish & Comfortable Studio In Business Bay, Dubai",1,1,579 sqft,8499,"Bloom Tower C, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0675496,55.203833
Spacious | Fully Furnished | All Bills Included,Studio,1,452 sqft,8499,"Joya Verde Residences, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0660797,55.21226859999999
"Studio Room With Gym, Pool, Sauna & Steam Room, Wifi",Studio,1,390 sqft,8499,"Al Barsha 1, Al Barsha, Dubai",Hotel Apartment,25.1103799,55.1954315
New! Luxurious Studio With Breath-Taking Palm Views,1,2,750 sqft,8499,"Al Qusais, Dubai",Apartment,25.2619867,55.3987166
Fully Furnished Studio| Jvc | All Bills Included,1,1,"1,035 sqft",8499,"Al Khail Heights Building 6A, Al Khail Heights, Al Quoz 4, Al Quoz, Dubai",Apartment,25.1491849,55.2462495
Beautiful Marina View | Walking Distance To Metro,1,2,781 sqft,8499,"Bluebell  Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0617417,55.2123317
Panoramic Full Sea View High Floor Two-Bedroom Apartment,1,1,753 sqft,8499,"Bloom Tower C, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0675496,55.203833
2Br Apt W/ Dubai Eye & Marina View,Studio,1,497 sqft,8499,"Botanica Tower, Dubai Marina, Dubai",Apartment,25.0850426,55.1424596
Ready To Move-In | Fully Furnished Studio,1,2,840 sqft,8500,"Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
Scandi Downtown Apt W/ Burj Khalifa View Balcony,Studio,1,348 sqft,8500,"Escan Marina Tower, Dubai Marina, Dubai",Apartment,25.0683427,55.1330463
Group Or Family  Stay I Near Dubai Mall,1,2,679 sqft,8500,"Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.027474,55.18148069999999
Modern Deluxe Room | Monthly Deal | All Bills Included,2,2,"1,179 sqft",8500,"Croesus, Majan, Dubai",Apartment,25.0950031,55.3178936
"Sea View 1 Bedroom In Beach Vista Tower 2, Dubai Marina",Studio,1,325 sqft,8500,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Hotel Apartment,25.2589953,55.32189049999999
Cozy And Comfortable 1Br In Business Bay,1,1,612 sqft,8500,"New Dubai Gate 1, JLT Cluster Q, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.076447,55.14601099999999
Fully Furnished 1-Bedroom Apartment | Al Jaddaf,Studio,1,355 sqft,8500,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Hotel Apartment,25.2589953,55.32189049999999
Spacious | Prime Location | Fully  - Furnished,1,2,727 sqft,8500,"Jumeirah Village Circle (JVC), Dubai",Apartment,25.0601975,55.2093505
Summer Offer |Furnished 1Br | Lagoon Views,Studio,1,387 sqft,8500,"Azizi Riviera 7, Azizi Riviera, Meydan One, Meydan City, Dubai",Apartment,25.1736872,55.3021223
Exclusive Offer I Multiple Months Deal I Cozy Furnishings I Partial Marina View I Low Floor I Perfect Location,Studio,1,432 sqft,8500,"Pantheon Elysee I, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0514786,55.20782029999999
Big Studio @6899 With Kitchen Dewa Wifi Gym Pool Parking,Studio,1,366 sqft,8500,"Azizi Riviera, Meydan One, Meydan City, Dubai",Apartment,25.1734161,55.3076972
Beachfront View | High Floor | All Inclusive,1,1,543 sqft,8500,"The Bridge, Dubai Sports City, Dubai",Apartment,25.0429674,55.22164919999999
24 Hour Flash Sale | Elegant 1-Bhk | Near Metro | No Commission | Bills Included,Studio,1,400 sqft,8500,"Farhad Azizi Residence, Dubai Healthcare City Phase 2, Al Jaddaf, Dubai",Apartment,25.2089375,55.3153125
Best Rate | Comfortable Studio | Resort By Danube,1,1,622 sqft,8500,"MAG 520, MAG 5 Boulevard, Dubai South, Dubai",Apartment,24.9512346,55.2300507
Breathtaking Studio Suite In Address Downtown | Rates Only Valid For The Month*,Studio,1,469 sqft,8500,"DAMAC Ghalia, JVC District 18, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0531125,55.1989628
Burj Khalifa View | Luxury Furnished | Family-Oriented,Studio,1,420 sqft,8500,"Lake View Tower, JLT Cluster B, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.06767,55.1388359
Great Amenities  / All Bills Included / Good Deal,1,2,824 sqft,8500,"Shaista Azizi, Al Furjan, Dubai",Apartment,25.0302756,55.1399889
Contemporary Style Studio Unit | Furnished | Business Bay,Studio,2,318 sqft,8500,"Vera Residences, Business Bay, Dubai",Apartment,25.1868571,55.2829892
All Inclusive | New Studio 15 Northside | Best Unit,Studio,1,364 sqft,8500,"Farhad Azizi Residence, Dubai Healthcare City Phase 2, Al Jaddaf, Dubai",Apartment,25.2089375,55.3153125
Summer Offer |Furnished 1Br | Lagoon Views,Studio,1,387 sqft,8500,"Azizi Riviera 7, Azizi Riviera, Meydan One, Meydan City, Dubai",Apartment,25.1736872,55.3021223
2 Bedroom Deluxe Hotel  Apartment / Newly Renovated/All Bills Included,2,2,"1,179 sqft",8500,"Croesus, Majan, Dubai",Apartment,25.0950031,55.3178936
Luxury 3 Bedroom Apartment In Marina,Studio,1,465 sqft,8500,"Executive Bay Tower A, The Executive Bay, Business Bay, Dubai",Apartment,25.1784017,55.2663993
No Commission - Deluxe Rom King/Twin,Studio,1,365 sqft,8500,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Apartment,25.2589953,55.32189049999999
Promotion Price One Br Apt I Address Dubai Mall,Studio,1,355 sqft,8500,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Hotel Apartment,25.2589953,55.32189049999999
Sunny 1Br At Canal Residences West Dubai Sports City By Deluxe Holiday Homes,1,2,727 sqft,8500,"Jumeirah Village Circle (JVC), Dubai",Apartment,25.0601975,55.2093505
Sea-View Oasis: 4Br W/ Maids Villa With Jacuzzi Game Room By Livbnb,1,1,"1,119 sqft",8500,"Tajer Residence, The Old Town Island, Downtown Dubai, Dubai",Apartment,25.1958043,55.2776775
Upbeat 1Br At Pantheon Elysee Jumeirah Village Circle By Deluxe Holiday Homes,Studio,1,458 sqft,8500,"Mesk, Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.0250231,55.18347619999999
Lovely 1 Bhk Apartment With Balcony At Golf Vista,1,2,622 sqft,8500,"Dania 2, Dania District, Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.0277822,55.1810122
Marina View W/ Beach Access Apt In Address Jbr,Studio,1,354 sqft,8500,"Bloom Tower B, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0671171,55.2034265
Brand New Building For Family  5 Min From Sharaf Dg Metro .,Studio,1,420 sqft,8500,"Safeer Tower, Dubai Marina, Dubai",Apartment,25.0783206,55.1418324
"Flawless 3Br Townhouse At Damac Hills 2, Dubailand By Deluxe Holiday Homes",Studio,1,583 sqft,8500,"Blue Waves Tower, Dubai Residence Complex, Dubai",Apartment,25.098042,55.37828039999999
Damac Towers By Paramount  In Business Bay,Studio,1,380 sqft,8500,"Farhad Azizi Residence, Dubai Healthcare City Phase 2, Al Jaddaf, Dubai",Apartment,25.2089375,55.3153125
Close To Beach And Metro 1Bd In Dubai Marina! Available To Move In Now !,Studio,1,355 sqft,8500,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Hotel Apartment,25.2589953,55.32189049999999
Maison Privee - Contemporary High - Rise Apt In Difc'S Iconic Tower,Studio,1,525 sqft,8500,"Chelsea Gardens, Zen Cluster, Discovery Gardens, Dubai",Hotel Apartment,25.0483131,55.1306458
Luxurious Apartment With Very Top Burj View,1,1,700 sqft,8500,"Bay Central (Central Tower), Bay Central, Dubai Marina, Dubai",Apartment,25.0786645,55.1375328
Exclusively Managed | Brand New | All Bills Included,Studio,1,488 sqft,8500,"151 Residence, Jumeirah Garden City, Al Satwa, Dubai",Apartment,25.222671,55.275561
"Spacious 1 Bedroom Apartment With Balcony I Utility Bill Included I Free Pool , Gym &  Car Parking I Near World Trade Center I No Commission",1,1,518 sqft,8500,"Aria Residence, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0601975,55.2093505
Large 2 Bedroom Fully Furnished,Studio,1,530 sqft,8500,"151 Residence, Jumeirah Garden City, Al Satwa, Dubai",Apartment,25.222671,55.275561
Spacious 1Br | Rooftop Pool | November Deal,1,2,876 sqft,8500,"Tower 108, JVC District 18, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0532011,55.1975172
Spacious Studio | Summer Deal | No Commission,Studio,1,420 sqft,8500,"Lake View Tower, JLT Cluster B, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.06767,55.1388359
Exclusive | 2Br Fully Furnished | Ready To Move In,1,1,437 sqft,8500,"Golf Vita A, Golf Vita, DAMAC Hills, Dubai",Apartment,25.0228736,55.2427461
Boho Design | 2 Bedroom | W Marina View,Studio,1,420 sqft,8500,"Luma21, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0507431,55.2052682
Winter Coming Promo! | Luxury Brand New 2Br In Prestigious Location,Studio,1,401 sqft,8500,"The Square Tower, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.046616,55.2060983
Classy Furnished Studio || Well Furnished || Call Us Now,Studio,1,361 sqft,8500,"Farhad Azizi Residence, Dubai Healthcare City Phase 2, Al Jaddaf, Dubai",Apartment,25.2089375,55.3153125
High Floor / All Bills Included / Vacant,1,2,727 sqft,8500,"Jumeirah Village Circle (JVC), Dubai",Apartment,25.0601975,55.2093505
"Spacious 1 Bedroom In Orchid A, Damac Hills",Studio,1,535 sqft,8500,"Lavender 1, Emirates Gardens, JVC District 12, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0528564,55.2141574
Harbour Views I Furnished I All Bills Included,Studio,1,450 sqft,8500,"Goldcrest Views 2, JLT Cluster J, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.066708,55.141881
Luxurious 3 Bedroom Apartment With Stunning Full Ain Dubai View @ Bluewater'S Island,Studio,1,355 sqft,8500,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Hotel Apartment,25.2589953,55.32189049999999
"Sea View 1 Bedroom In Beach Vista Tower 2, Dubai Marina",Studio,1,325 sqft,8500,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Hotel Apartment,25.2589953,55.32189049999999
Stunning Studio Apartment Near Metro With Balcony,1,1,926 sqft,8500,"Mazaya 11, Queue Point, Liwan, Dubai",Apartment,25.1114538,55.3682204
Livbnb Suites - 3 Bedroom Converted Into 2,1,1,762 sqft,8500,"Dania 4, Dania District, Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.027474,55.18148069999999
"Stylish 3Bdr Townhouse Villa In Erantis, Jvc With Pool",Studio,1,616 sqft,8500,"The Square Tower, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.046616,55.2060983
Elegant 1Br In Damac Hills | All Bills Included!!,Studio,1,424 sqft,8500,"Lake View Tower, JLT Cluster B, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.06767,55.1388359
Balcony | Pool View | Cozy,1,2,680 sqft,8500,"Afnan 4, Afnan District, Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.0285128,55.1800715
Cozy Studio At Rimal-3 Jbr By Deluxe Holiday Homes,Studio,1,430 sqft,8500,"The Nook, Wasl Gate, Dubai",Apartment,25.0239416,55.1053193
"Deluxe 1Br | 5* Hotel Beach, Pool, Gym | Burj Al Arab View",1,2,754 sqft,8500,"Silicon Gates 1, Silicon Gates, Dubai Silicon Oasis (DSO), Dubai",Apartment,25.1169625,55.3911833
1Br Apartment In Barsha Near Mall Of Emirates,Studio,1,355 sqft,8500,"Edge Creekside Hotel, Riggat Al Buteen, Deira, Dubai",Hotel Apartment,25.2589953,55.32189049999999
Livbnb Address Jbr Suites- Elegant 1Br Suite W/ Beach Access,Studio,1,533 sqft,8500,"Bermuda Views, Dubai Sports City, Dubai",Apartment,25.0313303,55.2233102
Full Sea View | Amazing Fully Furnished | Vacant | Gorgeous Floor To Ceiling,1,2,849 sqft,8500,"Al Jaddaf, Dubai",Apartment,25.216757,55.3309395
Beautiful Cityscape Views From This Urban Retreat,Studio,1,643 sqft,8500,"Lavender 2, Emirates Gardens, JVC District 12, Jumeirah Village Circle (JVC), Dubai",Apartment,25.053313,55.2135965
Exclusive Offer I 1Br By The Marina Walk I Stay Close To Metro I Serene Pool And Road View,Studio,1,452 sqft,8500,"DAMAC Ghalia, JVC District 18, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0531125,55.1989628
No Commission Brand New 1Br Apartment With Partial Sea View,Studio,1,443 sqft,8500,"Silicon Heights 2, Silicon Heights, Dubai Silicon Oasis (DSO), Dubai",Apartment,25.122219,55.37555700000001
